start,hr,temp,day,ID,label,date,shift_code,start_datetime,end_datetime
2025-03-07 10:00:00+01:00,110.0,37.11,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 10:10:00+01:00,84.0,37.142,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 10:20:00+01:00,99.0,37.171,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 10:30:00+01:00,45.0,37.157,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 10:40:00+01:00,83.0,37.039,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 10:50:00+01:00,89.0,36.968,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 11:00:00+01:00,86.0,37.48,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 11:10:00+01:00,97.0,37.205,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 11:20:00+01:00,41.0,37.034,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 11:30:00+01:00,82.0,36.961,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 11:40:00+01:00,90.0,36.991,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 11:50:00+01:00,99.0,37.044,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 12:00:00+01:00,94.0,37.053,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 12:10:00+01:00,94.0,37.009,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 12:20:00+01:00,100.0,36.994,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 12:30:00+01:00,97.0,36.965,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 12:40:00+01:00,95.0,36.888,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 12:50:00+01:00,60.0,36.91,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 13:00:00+01:00,118.0,36.967,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 13:10:00+01:00,82.0,37.087,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 13:20:00+01:00,71.0,37.137,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 13:30:00+01:00,125.0,37.189,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 13:40:00+01:00,101.0,37.222,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 13:50:00+01:00,102.0,37.209,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 14:00:00+01:00,97.0,37.232,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 14:10:00+01:00,106.0,37.24,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 14:20:00+01:00,109.0,37.251,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 14:30:00+01:00,103.0,37.2,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 14:40:00+01:00,93.0,37.182,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 14:50:00+01:00,85.0,37.168,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 15:00:00+01:00,95.0,37.201,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 15:10:00+01:00,96.0,37.168,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 15:20:00+01:00,86.0,37.083,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 15:30:00+01:00,73.0,37.049,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 15:40:00+01:00,104.0,37.019,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 15:50:00+01:00,96.0,37.053,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 16:00:00+01:00,96.0,37.071,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
2025-03-07 16:10:00+01:00,77.0,37.144,2025-03-07,103019.0,1.0,2025-03-07,5,2025-03-07 09:00:00+01:00,2025-03-07 17:54:00+01:00
